"Region Code","Timestamp (Hour Ending)","Wind Generation (MWh)","Solar Generation (MWh)","Hydro Generation (MWh)","Other Generation (MWh)","Petroleum Generation (MWh)","Natural gas Generation (MWh)","Coal Generation (MWh)","Nuclear Generation (MWh)"
NW,"12/1/2020 12 a.m. PST",7350,-1,12742,898,58,7927,10455,1164
NW,"12/1/2020 1 a.m. PST",7004,1,12098,975,59,7751,10923,1165
NW,"12/1/2020 2 a.m. PST",6214,4,11979,993,58,7708,11340,1164
NW,"12/1/2020 3 a.m. PST",5917,4,12095,1024,57,7854,11517,1164
NW,"12/1/2020 4 a.m. PST",5660,3,12986,1035,57,7827,11755,1166
NW,"12/1/2020 5 a.m. PST",5655,4,14156,1023,57,8084,11958,1167
NW,"12/1/2020 6 a.m. PST",5671,2,16208,1039,57,8766,11801,1167
NW,"12/1/2020 7 a.m. PST",5640,48,17945,1042,56,9291,11764,1167
NW,"12/1/2020 8 a.m. PST",5372,838,18339,1054,56,9393,11390,1167
NW,"12/1/2020 9 a.m. PST",4955,1784,17708,1065,54,8819,11070,1167
NW,"12/1/2020 10 a.m. PST",4830,1898,15927,1072,55,8389,10991,1166
NW,"12/1/2020 11 a.m. PST",4935,1793,15518,1088,56,8387,10867,1165
NW,"12/1/2020 12 p.m. PST",4965,1783,14823,1081,55,8514,11023,1163
NW,"12/1/2020 1 p.m. PST",4947,1760,14564,1074,55,8133,10753,1162
NW,"12/1/2020 2 p.m. PST",5110,1811,14075,1073,60,7911,10169,1162
NW,"12/1/2020 3 p.m. PST",5405,1608,13920,1049,57,8200,10075,1161
NW,"12/1/2020 4 p.m. PST",5667,598,15870,1029,55,9336,11047,1161
NW,"12/1/2020 5 p.m. PST",5630,16,17828,1022,56,10803,12204,1161
NW,"12/1/2020 6 p.m. PST",5500,2,18677,1036,55,10860,12280,1162
NW,"12/1/2020 7 p.m. PST",5535,0,18648,1044,56,10652,12083,1163
NW,"12/1/2020 8 p.m. PST",5454,1,18379,1041,59,10491,11953,1164
NW,"12/1/2020 9 p.m. PST",5041,4,17564,1039,59,10347,11844,1164
NW,"12/1/2020 10 p.m. PST",4870,4,16327,1046,57,10136,11557,1165
NW,"12/1/2020 11 p.m. PST",4752,5,14674,1047,57,9602,11286,1165
NW,"12/2/2020 12 a.m. PST",4715,3,13876,1047,57,9179,11341,1165
NW,"12/2/2020 1 a.m. PST",4860,3,12769,1029,58,8897,11495,1165
NW,"12/2/2020 2 a.m. PST",4887,4,12554,1028,58,8821,11537,1166
NW,"12/2/2020 3 a.m. PST",4896,4,12376,1028,58,8891,11528,1165
NW,"12/2/2020 4 a.m. PST",5140,4,12817,1039,58,9022,11545,1164
NW,"12/2/2020 5 a.m. PST",5521,1,13678,1028,69,9263,11683,1164
NW,"12/2/2020 6 a.m. PST",5458,4,15963,1043,58,9694,11996,1165
NW,"12/2/2020 7 a.m. PST",5520,45,18034,1051,59,10266,12331,1165
NW,"12/2/2020 8 a.m. PST",5337,911,18282,1051,57,10161,12037,1164
NW,"12/2/2020 9 a.m. PST",5141,2006,16592,1089,58,9423,11598,1163
NW,"12/2/2020 10 a.m. PST",5057,2130,15593,1095,59,8848,11072,1163
NW,"12/2/2020 11 a.m. PST",5245,1933,14729,1104,58,8723,10908,1162
NW,"12/2/2020 12 p.m. PST",5235,1857,14027,1096,57,8534,10615,1163
NW,"12/2/2020 1 p.m. PST",5293,1938,13479,1086,58,8670,11000,1162
NW,"12/2/2020 2 p.m. PST",5327,2063,13054,1073,58,8568,10819,1162
NW,"12/2/2020 3 p.m. PST",5486,1825,13271,1063,57,8674,11052,1161
NW,"12/2/2020 4 p.m. PST",5264,643,15300,1042,56,9826,12323,1161
NW,"12/2/2020 5 p.m. PST",5534,18,17101,1022,58,11278,12913,1161
NW,"12/2/2020 6 p.m. PST",5516,3,18343,1041,60,11365,12944,1164
NW,"12/2/2020 7 p.m. PST",5279,-1,17957,1046,58,11271,12933,1166
NW,"12/2/2020 8 p.m. PST",4961,2,17285,1051,58,11190,12799,1165
NW,"12/2/2020 9 p.m. PST",5097,-2,16745,1050,58,10652,12292,1166
NW,"12/2/2020 10 p.m. PST",5184,2,15853,1057,59,9944,11912,1164
NW,"12/2/2020 11 p.m. PST",5074,3,14910,1053,59,9729,11821,1165
NW,"12/3/2020 12 a.m. PST",5210,4,14088,1043,59,9225,11664,1162
NW,"12/3/2020 1 a.m. PST",5311,2,13346,1047,58,8855,11823,1163
NW,"12/3/2020 2 a.m. PST",5487,3,12932,1040,59,8857,11875,1163
NW,"12/3/2020 3 a.m. PST",5495,3,12973,1038,58,8953,11791,1164
NW,"12/3/2020 4 a.m. PST",5422,3,13179,1044,60,9115,11832,1165
NW,"12/3/2020 5 a.m. PST",5526,1,14023,1016,60,9393,11956,1165
NW,"12/3/2020 6 a.m. PST",5637,4,16043,1050,59,9873,12267,1165
NW,"12/3/2020 7 a.m. PST",5543,81,17995,1038,57,10260,12399,1165
NW,"12/3/2020 8 a.m. PST",5199,1038,18760,1048,57,10204,12033,1166
NW,"12/3/2020 9 a.m. PST",4708,2098,17323,1066,56,9589,12096,1165
NW,"12/3/2020 10 a.m. PST",4466,2234,16422,1076,58,9029,11645,1165
NW,"12/3/2020 11 a.m. PST",4467,2101,16074,1076,58,8781,11187,1163
NW,"12/3/2020 12 p.m. PST",4592,2026,15678,1076,58,8927,11061,1162
NW,"12/3/2020 1 p.m. PST",4866,2117,15000,1054,60,8655,10647,1161
NW,"12/3/2020 2 p.m. PST",4768,2215,14810,1041,58,8779,10632,1160
NW,"12/3/2020 3 p.m. PST",4535,1857,15061,1027,57,9221,11001,1160
NW,"12/3/2020 4 p.m. PST",4215,631,16984,990,57,10469,12257,1160
NW,"12/3/2020 5 p.m. PST",4651,14,18483,995,58,11603,12704,1158
NW,"12/3/2020 6 p.m. PST",5396,6,19164,1016,58,11477,12263,1160
NW,"12/3/2020 7 p.m. PST",5746,3,19006,1014,59,11294,11899,1161
NW,"12/3/2020 8 p.m. PST",5585,1,18456,1021,59,11088,11958,1162
NW,"12/3/2020 9 p.m. PST",5417,4,17559,1019,57,10644,11896,1161
NW,"12/3/2020 10 p.m. PST",5393,3,16464,1023,57,10397,11635,1160
NW,"12/3/2020 11 p.m. PST",5151,3,14435,1019,58,10047,11488,1162
NW,"12/4/2020 12 a.m. PST",5003,3,13550,1013,58,9772,11580,1162
NW,"12/4/2020 1 a.m. PST",4916,4,13292,1013,59,9322,11589,1163
NW,"12/4/2020 2 a.m. PST",4810,2,13095,1010,58,9309,11750,1161
NW,"12/4/2020 3 a.m. PST",4818,2,13023,1011,58,9407,11848,1162
NW,"12/4/2020 4 a.m. PST",5043,3,13276,1021,59,9325,11971,1162
NW,"12/4/2020 5 a.m. PST",5389,1,14112,1008,60,9428,12027,1163
NW,"12/4/2020 6 a.m. PST",5612,3,16342,1024,59,9926,12244,1161
NW,"12/4/2020 7 a.m. PST",5597,70,18038,1031,59,10175,12307,1161
NW,"12/4/2020 8 a.m. PST",5018,940,18829,1026,59,9834,12132,1160
NW,"12/4/2020 9 a.m. PST",4287,1986,17373,1034,58,9348,12099,1161
NW,"12/4/2020 10 a.m. PST",4402,2173,16508,1054,59,8634,11923,1162
NW,"12/4/2020 11 a.m. PST",4214,2015,16025,1033,58,8427,11712,1162
NW,"12/4/2020 12 p.m. PST",3970,1961,15332,1046,60,8231,11619,1162
NW,"12/4/2020 1 p.m. PST",3682,2018,14629,1044,57,8127,11357,1162
NW,"12/4/2020 2 p.m. PST",3353,2219,14421,1040,60,8187,11199,1161
NW,"12/4/2020 3 p.m. PST",2857,1967,14475,1030,58,8571,11460,1161
NW,"12/4/2020 4 p.m. PST",3002,683,16071,1015,58,9697,12491,1160
NW,"12/4/2020 5 p.m. PST",3520,20,17625,1006,58,10746,13350,1161
NW,"12/4/2020 6 p.m. PST",3778,1,18630,1021,59,11045,12859,1160
NW,"12/4/2020 7 p.m. PST",4218,2,18464,1032,59,10604,12458,1160
NW,"12/4/2020 8 p.m. PST",4524,2,18116,1034,60,10407,12276,1161
NW,"12/4/2020 9 p.m. PST",4645,3,17560,1054,60,10351,12196,1161
NW,"12/4/2020 10 p.m. PST",4379,3,16548,1053,59,10141,12122,1160
NW,"12/4/2020 11 p.m. PST",4247,4,15400,1066,56,9699,11827,1161
NW,"12/5/2020 12 a.m. PST",4357,2,14391,1058,56,9439,11568,1161
NW,"12/5/2020 1 a.m. PST",4414,3,13915,1065,26,8855,11370,1159
NW,"12/5/2020 2 a.m. PST",4307,3,13720,1055,19,8970,11372,1161
NW,"12/5/2020 3 a.m. PST",4500,4,13543,1054,20,8777,11295,1160
NW,"12/5/2020 4 a.m. PST",4698,4,13811,1046,19,8723,11419,1161
NW,"12/5/2020 5 a.m. PST",4644,1,14990,1051,20,8700,11455,1159
NW,"12/5/2020 6 a.m. PST",4421,5,15388,1059,20,8970,11503,1158
NW,"12/5/2020 7 a.m. PST",4436,65,16459,1059,20,9277,11677,1158
NW,"12/5/2020 8 a.m. PST",4096,1023,17065,1071,19,9013,11669,1159
NW,"12/5/2020 9 a.m. PST",3480,2205,16382,1077,19,8399,11616,1159
NW,"12/5/2020 10 a.m. PST",3113,2343,16085,1097,20,8249,11440,1159
NW,"12/5/2020 11 a.m. PST",3178,2162,15304,1093,21,7838,11126,1160
NW,"12/5/2020 12 p.m. PST",2994,2044,14539,1089,21,7670,10901,1159
NW,"12/5/2020 1 p.m. PST",2547,2194,13946,1074,21,7892,10655,1160
NW,"12/5/2020 2 p.m. PST",2492,2350,13589,1068,19,8140,10646,1159
NW,"12/5/2020 3 p.m. PST",2241,1953,13716,1050,19,8825,10852,1161
NW,"12/5/2020 4 p.m. PST",2211,599,15506,1013,20,10266,11732,1161
NW,"12/5/2020 5 p.m. PST",2780,12,16929,1020,21,11413,12363,1160
NW,"12/5/2020 6 p.m. PST",2960,1,17848,1023,20,11761,12349,1161
